SBA Physical Declaration Number,SBA EIDL Declaration ,FEMA Disaster Number,SBA Disaster ,Damaged Property City ,Damaged Property Zip,Damaged Property State Code,Total Verified ,Verified Loss Real Estate,Verified Loss Content,Total Approved ,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
14495,14496,4241,SC-00031,MT PLEASANT,29464,SC,116711,83561,33150,0,0,0,0
14495,14496,4241,SC-00031,MULLINS,29574,SC,54136,53486,650,12100,12100,0,0
14495,14496,4241,SC-00031,MURRELLS INLET,29576,SC,35251,19875,15376,0,0,0,0
14495,14496,4241,SC-00031,MURRELLS INLET,29576,SC,41823,30573,11250,12600,6400,6200,0
14495,14496,4241,SC-00031,MYRTLE BEACH,29572,SC,454458,452458,2000,452500,452500,0,0
14495,14496,4241,SC-00031,MYRTLE BEACH,29575,SC,12770,9163,3607,0,0,0,0
14495,14496,4241,SC-00031,MYRTLE BEACH,29577,SC,152871,102251,50620,78900,53900,0,25000
14495,14496,4241,SC-00031,MYRTLE BEACH,29579,SC,921253,889619,31634,45700,34400,11300,0
14495,14496,4241,SC-00031,MYRTLE BEACH,29588,SC,53218,37658,15560,9000,9000,0,0
14495,14496,4241,SC-00031,N CHARLESTON,29405,SC,77812,72712,5100,8500,8500,0,0
14495,14496,4241,SC-00031,N CHARLESTON,29406,SC,289538,275715,13823,13300,13300,0,0
14495,14496,4241,SC-00031,N CHARLESTON,29418,SC,63775,62925,850,238800,63000,800,175000
14495,14496,4241,SC-00031,NEESES,29107,SC,92159,87103,5056,0,0,0,0
14495,14496,4241,SC-00031,NESMITH,29580,SC,10427,10427,0,0,0,0,0
14495,14496,4241,SC-00031,NEW ZION,29111,SC,91574,89174,2400,29600,29600,0,0
14495,14496,4241,SC-00031,NEW ZION,29111,SC,8148,6698,1450,8800,6700,1500,600
14495,14496,4241,SC-00031,NEWBERRY,29108,SC,237599,220599,17000,6800,6800,0,0
14495,14496,4241,SC-00031,NINETY SIX,29666,SC,13919,13919,0,0,0,0,0
14495,14496,4241,SC-00031,NORTH,29112,SC,78771,70320,8451,0,0,0,0
14495,14496,4241,SC-00031,NORTH AUGUSTA,29841,SC,0,0,0,50000,0,0,50000
14495,14496,4241,SC-00031,NORTH CHARLESTON,29405,SC,2473831,2403558,70273,1047900,1004500,23400,20000
14495,14496,4241,SC-00031,NORTH CHARLESTON,29406,SC,1221880,1184716,37164,1094900,884200,8700,202000
14495,14496,4241,SC-00031,NORTH CHARLESTON,29418,SC,290974,248596,42378,143600,110400,25000,8200
14495,14496,4241,SC-00031,NORTH CHARLESTON,29420,SC,236910,230585,6325,153500,152100,1400,0
14495,14496,4241,SC-00031,North Charleston,29405,SC,518737,517612,1125,0,0,0,0
14495,14496,4241,SC-00031,North Charleston,29418,SC,120319,112811,7508,21300,21300,0,0
14495,14496,4241,SC-00031,NORTH CHARLESTON,29420,SC,25934,25934,0,18700,18700,0,0
14495,14496,4241,SC-00031,North Charleston,29420,SC,82028,82028,0,21300,21300,0,0
14495,14496,4241,SC-00031,NORTH MYRTLE BEACH,29582,SC,848278,442144,406134,200300,93200,55900,51200
14495,14496,4241,SC-00031,NORTH MYRTLE BEACH,29597,SC,0,0,0,25000,0,0,25000
14495,14496,4241,SC-00031,OLANTA,29114,SC,236331,232101,4230,182200,182200,0,0
14495,14496,4241,SC-00031,ORANGEBURG,29118,SC,298575,297275,1300,1300,0,1300,0
14495,14496,4241,SC-00031,ORANGEBURG,29107,SC,67766,67766,0,0,0,0,0
14495,14496,4241,SC-00031,ORANGEBURG,29115,SC,4668212,4124881,543331,3215600,2686800,456300,72500
14495,14496,4241,SC-00031,ORANGEBURG,29116,SC,39480,39480,0,64600,39600,0,25000
14495,14496,4241,SC-00031,ORANGEBURG,29118,SC,44771,44771,0,25000,25000,0,0
14495,14496,4241,SC-00031,Orangeburg,29115,SC,932603,930748,1855,175800,175800,0,0
14495,14496,4241,SC-00031,OSWEGO,29150,SC,16715,16715,0,16800,16800,0,0
14495,14496,4241,SC-00031,PAMPLICO,29583,SC,340083,299683,40400,0,0,0,0
14495,14496,4241,SC-00031,PAWLEYS ISLAND,29585,SC,212543,188267,24276,145800,0,2000,143800
14495,14496,4241,SC-00031,PAXVILLE,29102,SC,61258,61258,0,10200,10200,0,0
14495,14496,4241,SC-00031,PELION,29123,SC,96948,96948,0,103500,97000,0,6500
14495,14496,4241,SC-00031,PINEVILLE,29468,SC,9798,7798,2000,0,0,0,0
14495,14496,4241,SC-00031,PINEWOOD,29125,SC,137841,137841,0,130400,130400,0,0
14495,14496,4241,SC-00031,PINEWOOD,29125,SC,86088,78191,7897,19700,18500,900,300
14495,14496,4241,SC-00031,POMARIA,29126,SC,1142,1142,0,0,0,0,0
14495,14496,4241,SC-00031,PROSPERITY,29127,SC,5096,5096,0,5100,5100,0,0
14495,14496,4241,SC-00031,QUINBY,29506,SC,81675,81675,0,74400,74400,0,0
14495,14496,4241,SC-00031,RAVENEL,29470,SC,56533,47303,9230,56000,39600,4600,11800
14495,14496,4241,SC-00031,Reevesville,29471,SC,29670,29670,0,25000,25000,0,0
14495,14496,4241,SC-00031,REMBERT,29128,SC,45750,40950,4800,64000,41000,0,23000
14495,14496,4241,SC-00031,REMBERT,29128,SC,393214,334914,58300,357500,304000,53500,0
14495,14496,4241,SC-00031,RIDGEVILLE,29472,SC,11660,11660,0,0,0,0,0
14495,14496,4241,SC-00031,RIDGEVILLE,29472,SC,271156,193624,77532,254600,152900,76700,25000
14495,14496,4241,SC-00031,SAINT MATTHEWS,29135,SC,44046,43346,700,0,0,0,0
14495,14496,4241,SC-00031,SAINT STEPHEN,29479,SC,119169,119169,0,77000,77000,0,0
14495,14496,4241,SC-00031,SALLEY,29137,SC,12090,12090,0,12100,12100,0,0
14495,14496,4241,SC-00031,SALTERS,29590,SC,166723,165723,1000,0,0,0,0
14495,14496,4241,SC-00031,SANTEE,29142,SC,55578,48108,7470,0,0,0,0
14495,14496,4241,SC-00031,SCRANTON,29591,SC,438911,438911,0,406900,406900,0,0
